abandon/’bndn/ vt.丢弃;放弃，抛弃
flash/fl/ n.闪光vi.闪，闪烁
flat/flt/ a.平的，扁平的
flat/flt/ n.一套房间;单元住宅
flavour/‘fleiv/ n.味，味道;风味
fleet/fli:t/ n.舰队;船队，机群
flesh/fle/ n.肉，肌肉;肉体
flexible/‘fleksbl/ a.易弯曲的;灵活的
flight/flait/ n.航班;飞行;逃跑
float/flut/ vi.漂浮vt.使漂浮
flock/flk/ n.羊群，群;大量
flood/flΛd/ n.洪水vt.淹没
floor/fl:/ n.地板;楼层
flour/‘flau/ n.面粉，粉;粉状物质
flourish/‘flΛri/ vi.繁荣，茂盛，兴旺
flow/flu/ vi.流动;飘垂;涨潮
flower/‘flau/ n.花，花卉;开花
fluent/‘flu(:)nt/ a.流利的，流畅的
fluid/‘flu(:)id/ n.流体，液体
fly/flai/ n.蝇，苍蝇vi.飞行
focus/‘fuks/ vi.聚焦，注视n.焦点
fog/fg/ n.雾;烟雾，尘雾
fold/fuld/ vt.折叠;合拢n.褶
folk/fulk/ n.人们，家属，亲属
follow/‘flu/ vt.跟随;结果是
following/‘flui/ a.接着的;下列的
fond/fnd/ a.喜爱的;溺爱的
food/fu:d/ n.食物，食品，养料
fool/fu:l/ n.蠢人，傻子vt.欺骗
foolish/‘fu:li/ a.愚蠢的;鲁莽的
foot/fut/ n.脚;最下部;英尺
football/‘futb:l/ n.足球比赛;足球
footstep/‘futstep/ n.脚步;脚步声;足迹
for/f:,f/ prep.为;给;因为
forbid/f’bid/ vt.禁止，不许;阻止
force/f:s/ vt.强迫n.力，力量
forecast/‘f:ka:st/ n.预测，预报vt.预示
forehead/‘frid,‘f:hed/ n.额头，前部
foreign/‘frin/ a.外国的;外来的
foreigner/‘frin/ n.外国人
forest/‘frist/ n.森林;森林地带
forever/f’rev/ ad.永远，总是，老是
forge/f:d/ n.熔炉,铁工厂vt.打制,锻造,伪造
forget/f’get/ vt.忘记，遗忘
forgive/f’giv/ vt.原谅，饶恕，宽恕
fork/f:k/ n.餐叉;叉;分叉
form/f:m/ n.形式;形状vt.形成
formal/‘f:ml/ a.正式的;礼仪上的
formation/f:’mein/ n.形成;构成;形成物
former/‘f:m/ a.在前的n.前者
formula/‘f:mjul/ n.公式，式
forth/f:θ/ ad.向前;向外，往外
fortnight/‘f:tnait/ n.两星期，十四天
fortunate/‘f:tnit/ a.幸运的，侥幸的
fortunately/‘f:tnitli/ ad.幸运地，幸亏
fortune/‘f:tn/ n.命运，运气;财产
forty/‘f:ti/ num.四十，第四十
forward/‘f:wd/ ad.向前;今后，往后
found/faund/ vt.创立，创办;建立
foundation/faun’dein/ n.基础;地基;基金
fountain/‘fauntin/ n.泉水，喷泉;源泉
four/f:/ num.四，四个，第四
fourteen/‘f:’ti:n/ num.十四，第十四
fox/fks/ n.狐狸;狡猾的人
fraction/‘frkn/ n.小部分;片断;分数
fragment/‘frgmnt/ n.碎片，破片，碎块
frame/freim/ n.框架，框子;构架
framework/‘freimw:k/ n.框架，构架，结构
frank/frk/ a.坦白的，直率的
free/fri:/ a.自由的;空闲的
freedom/‘fri:dm/ n.自由;自主
freeze/fri:z/ vi.冻;结冻vt.使结冰
freight/freit/ n.货运;货物;运费
rench/frent/ a.法国的n.法国人
frequency/‘fri:kwnsi/ n.屡次;次数;频率
frequent/‘fri:kwnt/ a.时常发生的;经常的
fresh/fre/ a.新的;新鲜的
friction/‘frikn/ n.摩擦，摩擦力
riday/‘fraidi/ n.星期五
fridge/frid/ n.电冰箱
friend/frend/ n.朋友，友人
friendly/‘frendli/ a.友好的，友谊的
friendship/‘frendip/ n.友谊，友好
frighten/‘fraitn/ vt.使惊恐，吓唬
frog/frg/ n.蛙
from/frm,frm,frm/ prep.从…来;离开
front/frΛnt/ a.前面的n.前部
frontier/‘frΛntj/ n.边境;边疆;新领域
frost/frst/ n.冰冻，严寒;霜
frown/fraun/ vi.皱眉，蹙额
fruit/fru:t/ n.水果;果实;成果
fruitful/‘fru:tful/ a.多产的;肥沃的
fry/frai/ vt.油煎，油炸，油炒
fuel/fjul/ n.燃料vt.给…加燃料
fulfil/ful’fil/ vt.履行;满足;完成
full/ful/ a.满的;完全的
fun/fΛn/ n.乐趣，娱乐;玩笑
function/‘fΛkn/ n.功能;职务;函数
fund/fΛnd/ n.资金;基金;存款
fundamental/fΛnd’mentl/ a.基础的，基本的
funeral/‘fju:nrl/ n.葬礼，丧礼，丧葬
funny/‘fΛni/ a.古怪的;滑稽的
fur/f:/ n.软毛;毛皮，裘皮
furnace/‘f:nis/ n.炉子，熔炉;鼓风炉
furnish/‘f:ni/ vt.供应，提供;装备
furniture/‘f:nit/ n.家具;装置，设备
further/‘f:/ ad.更远地a.更远的
furthermore/‘f:’m:/ ad.而且，此外
future/‘fju:t/ n.将来，未来;前途
gain/gein/ vt.获得;增加n.增进
gallon/‘gln/ n.加仑
game/geim/ n.游戏;比赛;猎物
gang/g/ n.一帮，一伙
gap/gp/ n.缺口;间隔;差距
garage/‘gra:/ n.车库;加油站
garden/‘ga:dn/ n.花园，菜园;公园
gardener/‘ga:dn/ n.园丁，花匠
gas/gs/ n.煤气;气体;汽油
gaseous/‘geizjs/ a.气体的，气态的
gasoline/‘gsli:n/ n.(美)汽油
gate/geit/ n.大门;篱笆门
gather/‘g/ vi.聚集;集合vt.收集
gauge/geid/ vt.量，测量n.量器
gay/gei/ a.快乐的;鲜明的
gaze/geiz/ vi.凝视，盯，注视
general/‘denrl/ a.总的;一般的n.将军
generally/‘denrli/ ad.一般地;通常地
generate/‘denreit/ vt.发生;引起;生殖
generation/den’rein/ n.一代，一代人;产生
generator/‘denreit/ n.发电机;发生者
generous/‘denrs/ a.慷慨的;宽厚的
genius/‘di:njs/ n.天才，天赋，天资
gentle/‘dentl/ a.和蔼的;轻柔的
gentleman/‘dentlmn/ n.绅士;有教养的人
genuine/‘denjuin/ a.真的;真正的
geography/di’grfi/ n.地理，地理学
geometry/di’mitri/ n.几何，几何学
germ/d:m/ n.微生物，细菌，幼芽
German/‘d:mn/ a.德国的n.德国人
gesture/‘dest/ n.姿势，手势;姿态
get/get/ vi.变得，成为;到达
ghost/gust/ n.鬼，灵魂;鬼魂
giant/‘daint/ n.巨人;巨物
gift/gift/ n.礼物，赠品;天赋
girl/g:l/ n.女孩子，姑娘;女儿
give/giv/ vt.做，作;送给
glad/gld/ a.高兴的;乐意的
glance/gla:ns/ vi.看一下n.一瞥
glass/gla:s/ n.玻璃;玻璃杯
glimpse/glimps/ vt.瞥见n.一瞥，一看
globe/glub/ n.地球，世界;地界仪
glorious/‘gl:ris/ a.光荣的;壮丽的
glory/‘gl:ri/ n.光荣;荣誉的事
glove/glΛv/ n.手套
glow/glu/ n.白热光vi.发白热光
glue/glu:/ n.胶，胶水vt.胶合
go/gu/ vi.去;走;变为
goal/gul/ n.球门;得分;目的
goat/gut/ n.山羊
God/gd/ n.神，神像;上帝
gold/guld/ n.金;钱财a.金制的
golden/‘guldn/ a.金色的;极好的
good/gud/ a.好的;有本事的
goodbye// int.再见，再会
goods/gudz/ n.货物，商品
goose/gu:s/ n.鹅，雌鹅
govern/‘gΛvn/ vt.统治，治理;支配
government/‘gΛvnmnt/ n.政府;治理;政治
governor/‘gΛvn/ n.州长;主管人员
grace/greis/ n.优美，文雅;雅致
graceful/‘greisful/ a.优美的，优雅的
grade/greid/ vt.给…分等级n.等级
gradual/‘grdjul/ a.逐渐的;渐进的
graduate/‘grdjueit/ n.毕业生vi.大学毕业
grain/‘grein/ n.谷物，谷粒;颗粒
gram/grm/ n.克
grammar/‘grm/ n.语法;语法书
grammatical/gr’mtikl/ a.语法上的
gramme/grm/ n.克
grand/grnd/ a.宏伟的;重大的
grandfather/‘grndfa:/ n.祖父;外祖父
grandmother/‘grndmΛ/ n.祖母，外祖母
grant/gra:nt/ n.授给物vt.授予
grape/greip/ n.葡萄;葡萄藤
graph/grf/ n.(曲线)图，图表
grasp/gra:sp/ vt.抓紧;掌握n.抓
grass/gra:s/ n.草;牧草;草地
grateful/‘greitful/ a.感激的;令人愉快的
gratitude/‘grtitju:d/ a.感激，感谢，感恩
grave/greiv/ n.坟墓a.严重的
gravity/‘grviti/ n.重力，引力;严重性
gray/grei/ a.灰色的n.灰色
great/greit/ a.大的;伟大的
greedy/‘gri:di/ a.贪吃的;贪婪的
Greek/gri:k/ a.希腊的n.希腊人
green/gri:n/ a.绿色的n.绿色
greet/gri:t/ vt.问候，招呼;反应
greeting/‘gri:ti/ n.问候，招呼，致敬
grey/grei/ a.灰色的n.灰色
grind/graind/ vt.磨(碎);磨快
grip/grip/ vt.握紧，抓牢n.紧握
grocer/‘grus/ n.食品商;杂货商
gross/grus/ a.总的;严重的
ground/graund/ n.地;场地;根据
group/gru:p/ n.小组，群vi.聚集
grow/gru/ vi.生长;变得;增长
growth/gruθ/ n.增长;增长量;生长
guarantee/grn’ti:/ n.保证;担保物
guard/ga:d/ vt.守卫;看守n.卫兵
guess/ges/ vt.&vi.&n.猜测，推测
guest/gest/ n.客人，宾客;旅客
guidance/‘gaidns/ n.引导，指导，领导
guide/gaid/ n.导游者vt.给…导游
guilty/‘gilti/ a.内疚的;有罪的
gulf/gΛlf/ n.海湾
gum/gΛm/ n.口香糖;树胶
gun/gΛn/ n.枪，炮
gym/dim/ n.体育馆，健身房
gymnasium/dim’neizjm/ n.体育馆，健身房
habit/‘hbit/ n.习惯;习性
hair/he/ n.头发，毛发;毛
half/ha:f/ n.半，一半a.一半的
hall/h:l/ n.门厅;过道;会堂
halt/h:lt/ vi.停止;立定n.停住
hammer/‘hm/ n.锤，榔头vt.锤击
hand/hnd/ n.手;人手;指针
handful/hndful/ n.一把;少数，一小撮
handkerchief/‘hktif/ n.手帕
handle/‘hndl/ n.柄，把手vt.拿，触
handsome/‘hndsm/ a.英俊的;相当大的
handwriting/‘hndraiti/ n.笔迹，手迹，书法
handy/‘hndi/ a.手边的;便于使用的
hang/h/ vt.挂，悬;吊死
happen/‘hpn/ vi.发生;碰巧，恰好
happy/‘hpi/ a.快乐的;幸福的
harbour/‘ha:b/ n.海港，港口vt.庇护
hard/‘ha:d/ a.硬的;困难的
harden/‘ha:dn/ vt.使变硬vi.变硬
hardly/‘ha:dli/ ad.几乎不，简直不
hardship/‘ha:dip/ n.艰难，困苦
hardware/‘ha:dwe/ n.五金器具;硬件
harm/ha:m/ n.伤害，损害vt.损害
harmony/‘ha:mni/ n.调合，协调，和谐
harness/‘ha:nis/ vt.治理n.马具，挽具
harsh/ha:/ a.严厉的;刺耳的
harvest/‘ha:vist/ n.收获，收成vt.收割
haste/heist/ n.急速，急忙;草率
hat/ht/ n.帽子(一般指有边的)
hate/heit/ vt.恨，憎恨;不喜欢
hatred/‘heitrid/ n.憎恶，憎恨，仇恨
have/hv,hv/ v.aux.已经vt.有;吃
hay/hei/ n.干草
hazard/‘hzd/ n.危险;公害
he/hi:/ pron.(主格)他
head/hed/ n.头;上端vt.率领
headache/‘hedeik/ n.头痛;头痛的事
heading/‘hedi/ n.标题，题词，题名
headline/‘hedlain/ n.大字标题;新闻提要
headquarters/‘hed’kw:tz/ n.司令部;总部
health/helθ/ n.健康，健康状况
healthy/‘helθi/ a.健康的;有益健康的
heap/hi:p/ n.(一)堆;大量
hear/hi/ vt.听见;审讯;听说
heart/ha:t/ n.心，内心;勇气
heat/hi:t/ n.热，炎热vi.变热
heaven/‘hevn/ n.天堂;天，天空
heavy/‘hevi/ a.重的;大的;充满的
hedge/hed/ n.篱笆，树篱;障碍物
heel/hi:l/ n.脚后跟，踵，后跟
height/hait/ n.高，高度;高处
helicopter/‘helikpt/ n.直升机
hell/hel/ n.地狱;极大的痛苦
hello/‘h’lu/ int.喂
help/help/ vt.帮助;援助n.帮手
helpful/‘helpful/ a.给予帮助的;有用的
helpless/‘helplis/ a.无助的;无能的
hen/hen/ n.母鸡，雌禽
hence/hens/ ad.因此，所以;今后
her/h:,h/ pron.(宾格)她;她的
herd/h:d/ n.兽群，牧群vt.放牧
here/hi/ ad.这里;向这里
hero/‘hiru/ n.男主角;英雄;勇士
heric/hi’ruik/ a.英雄的;英勇的
hers/h:z/ pron.她的(所有物)
herself/h:’self/ pron.她自己;她亲自
hesitate/‘heziteit/ vi.犹豫，踌躇;含糊
hi/hai/ ini.嗨(表示问候等)
hide/haid/ vt.把…藏起来;隐瞒
high/hai/ a.高的;高级的ad.高
highly/‘haili/ ad.高度地，很，非常
highway/‘haiwei/ n.公路;大路
hill/hil/ n.小山，山岗;丘陵
hillside/‘hil’said/ n.(小山)山腰，山坡
him/him/ pron.(宾格)他
himself/him’self/ pron.他自己;他亲自
hint/hint/ n.暗示，示意;建议
hire/‘hai/ vt.租借n.租用，雇用
his/his/ pron.他的，他的东西
historical/his’trikl/ a.历史的，有关历史的
history/‘histri/ n.历史;个人经历
hit/hit/ vt.打;碰撞n.击
hobby/‘hbi/ n.业余爱好，癖好
hold/huld/ vt.拿住;掌握;拥有
hole/hul/ n.洞;孔眼，裂开处
holiday/‘hldi/ n.假日，节日;假期
hollow/‘hlu/ a.空的;空洞的
holy/‘huli/ a.神圣的;圣洁的
home/hum/ n.家;家乡a.家庭的
honest/‘nist/ a.诚实的;可敬的
honey/‘hΛni/ n.蜜，蜂蜜;甜，甜蜜
honour/‘n/ n.光荣;尊敬，敬意
honourable/‘nrbl/ a.诚实的;光荣的
hook/huk/ n.钩，挂钩vt.钩住
hope/hup/ n.&vt.&vi.希望
hopeful/‘hupful/ a.有希望的
hopeless/‘huplis/ a.没有希望的，绝望的
horizon/h’raizn/ n.地平线;眼界，见识
horizontal/hri’zntl/ a.地平的;水平的
horn/h:n/ n.号角;警报器;角
horror/‘hr/ n.恐怖;战栗;憎恶
horse/h:s/ n.马;马科动物
horsepower/‘h:spau/ n.马力
hospital/‘hspitl/ n.医院
host/hust/ n.主人;东道主
hostile/‘hstail/ a.敌方的;不友善的
hot/ht/ a.热的;刺激的;辣的
hotel/hu’tel/ n.旅馆
hour/‘au/ n.小时;时间，时刻
house/haus/ n.房屋，住宅;商号
household/‘haushuld/ n.家庭，户;家务
housewife/‘hauswaif/ n.家庭主妇
how/hau/ ad.怎么;怎样;多少
however/hau’ev/ ad.然而;不管怎样
huge/hju:d/ a.巨大的，庞大的
human/‘hju:mn/ a.人的，人类的n.人
humble/‘hΛmbl/ a.谦逊的;地位低下的
humorous/‘hju:mrs/ a.富于幽默的，诙谐的
humour/‘hju:m/ n.幽默，诙谐，幽默感
hundred/‘hΛndrid/ num.百，百个n.许多
hunger/‘hΛg/ n.饿，饥饿;渴望
hungry/‘hΛgri/ a.饥饿的;渴望的
hunt/hΛnt/ n.打猎;搜寻vt.追猎
hurry/‘hΛri/ vi.赶紧vt.催促
hurt/h:t/ vt.使受伤;使痛心
husband/‘hΛzbnd/ n.丈夫
hut/hΛt/ n.小屋，棚屋
hydrogen/‘haidridn/ n.氢
I/ai/ pron.(主格)我
ice/ais/ n.冰，冰块vt.冰镇
ice-cream/‘ais’kri:m/ n.冰淇淋
idea/ai’di/ n.想法;思想;意见
ideal/ai’dil/ a.理想的;观念的
identical/ai’dentikl/ a.完全相同的;同一的
identify/ai’dentifai/ vt.认出，识别，鉴定
idle/‘aidl/ a.空闲的;懒散的
if/if/ conj.假如，如果
ignorant/‘ignrnt/ a.不知道的;无知的
ignore/ig’n:/ vt.不顾，不理，忽视
ill/il/ a.有病的;坏的ad.坏
illegal/i’li:gl/ a.不合法的，非法的
illness/‘ilnis/ n.病，疾病
illustrate/‘ilstreit/ vt.(用图等)说明
illustration/ils’trein/ n.说明，图解;例证
image/‘imid/ n.像;形象;映象
imaginary/i’mdinri/ a.想象中的，假想的
imagination/imdi’nein/ n.想象;想象力;空想
imagine/i’mdin/ vt.想象，设想;料想
imitate/‘imiteit/ vt.模仿，仿效;仿制
immediate/i’mi:djt/ a.立即的;直接的
immense/i’mens/ a.巨大的;极好的
immigrant/‘imigrnt/ n.移民a.移民的
impact/‘impkt/ n.影响，作用;冲击
impatient/im’peint/ a.不耐烦的，急躁的
implication/impli’kein/ n.含义，暗示，暗指
imply/im’plai/ vt.暗示，意指
import/im’p:t‘imp:t/ vt.&n.输入，进口
importance/im’p:tns/ n.重要;重要性
important/im’p:tnt/ a.重要的;有势力的
impose/im’puz/ vt.把…强加;征(税)
impossible/im’psbl/ a.不可能的，办不到的
impress/im’pres,‘impres/ vt.给…深刻印象
impression/im’pren/ n.印;印象;印记
impressive/im’presiv/ a.给人印象深刻的
improve/im’pru:v/ vt.使更好vi.改善
improvement/im’pru:vmnt/ n.改进，改善;改进处
in/in/ prep.在…里ad.进，入
inch/int/ n.英寸
incident/‘insidnt/ n.发生的事;事件
incline/in’klain/ n.斜坡vt.使倾斜
include/in’klu:d/ vt.包括，包含
income/‘inkΛm/ n.收入;收益;进款
increase/in’kri:s,‘inkri:s/ vt.&vi.&n.增加
increasingly/in’kri:sili/ ad.日益，越来越多地
indeed/in’di:d/ ad.真正地;确实
independence/indi’pendns/ n.独立，自主，自立
independent/indi’pendnt/ a.独立的;自主的
index/‘indeks/ n.索引;指数;指标
Indian/‘indin/ a.印度的n.印度人
indicate/‘indikeit/ vt.标示，表示;表明
indication/indi’kein/ n.指示;表示;表明
indifferent/in’difrnt/ a.冷漠的;不积极的
indirect/indi’rekt/ a.间接的;不坦率的
indispensable/indis’pensbl/ a.必不可少的，必需的
individual/indi’vidjul/ a.个别的;独特的
indoors/in’d:z/ ad.在室内，在屋里
industrial/in’dΛstril/ a.工业的;产业的
industrialize/in’dΛstrilaiz/ vt.使工业化
industry/‘indstri/ n.工业，产业;勤劳
inevitable/in’evitbl/ a.不可避免的，必然的
infant/‘infnt/ n.婴儿a.婴儿的
infect/in’fekt/ vt.传染;感染
infer/in’f:/ vt.推论，推断;猜想
inferior/in’firi/ a.下等的;劣等的
infinite/‘infinit/ a.无限的;无数的
influence/‘influns/ n.影响;势力vt.影响
influential/influ’enl/ a.有影响的;有权势的
inform/in’f:m/ vt.通知，向…报告
information/inf’mein/ n.消息，信息;通知
inhabitant/in’hbitnt/ n.居民，住户
inherit/in’herit/ vt.继承(传统等)
initial/i’nil/ a.最初的;词首的
injection/in’dekn/ n.注射，注入;充满
injure/‘ind/ vt.伤害，损害，损伤
injury/‘indri/ n.损害，伤害;受伤处
ink/ik/ n.墨水，油墨
inn/in/ n.小旅店;小酒店
inner/‘in/ a.内部的;内心的
innocent/‘insnt/ a.清白的，幼稚的
input/‘input/ n.输入;投入的资金
inquire/in’kwai/ vt.打听，询问;调查
inquiry/in’kwairi/ n.询问，打听;调查
insect/‘insekt/ n.昆虫，虫
/in’s:t,‘ins:t/ vt.插入;嵌入;登载
inside/in’said/ prep.在…里面n.内部
insist/in’sist/ vi.坚持;坚持要求
inspect/in’spekt/ vt.检查，审查;检阅
inspire/in’spai/ vt.鼓舞;给…以灵感
install/in’st:l/ vt.安装，设置
installation/inst’lein/ n.安装;装置;设施
instance/‘instns/ n.例子，实例，事例
instant/‘instnt/ n.瞬间a.立即的
instead/in’sted/ ad.代替，顶替;反而
instinct/‘instikt/ n.本能;直觉;生性
institute/‘institju:t/ n.研究所;学院
institution/insti’tju:n/ n.协会;制度，习俗
instruct/in’strΛkt/ vt.教;指示;通知
instruction/in’strΛkn/ n.命令;教学;教训
instrument/‘instrumnt/ n.仪器;工具;乐器
insult/‘insΛlt,in’sΛlt/ vt.&n.侮辱，凌辱
insurance/in’urns/ n.保险;保险费
insure/in’u/ vt.给…保险;确保
intellectual/inti’lektjul/ n.知识分子a.智力的
intelligence/in’telidns/ n.智力;理解力;情报
intelligent/in’telidnt/ a.聪明的;理智的
intend/in’tend/ vt.想要，打算;意指
intense/in’tens/ a.强烈的;紧张的
intensity/in’tensiti/ n.强烈，剧烈;强度
intensive/in’tensiv/ a.加强的;精耕细作的
intention/in’tenn/ n.意图，意向，目的
interaction/int’rkn/ n.相互作用;干扰
interest/‘intrist/ n.兴趣;利益;利息
interesting/‘intristi/ a.有趣的，引人入胜的
interfere/int’fi/ vi.干涉，干预;妨碍
interference/int’firns/ n.干涉，干预;阻碍
interior/in’tiri/ a.内的;内地的n.内部
intermediate/int’mi:djt/ a.中间的;中级的
internal/in’t:nl/ a.内的;国内的
international/int(:)’nnl/ a.国际的，世界(性)的
interpret/in’t:prit/ vt.解释，说明;口译
interpretation/int:pri’tein/ n.解释;口译
interrupt/int’rΛpt/ vt.打断，打扰;中止
interval/‘intvl/ n.间隔;休息;间距
interview/‘intvju:/ n.接见;会见;面谈
intimate/‘intimit/ a.亲密的;个人的
into/‘intu,‘int/ prep.进，入;进入到
introduce/‘intr’dju:s/ vt.介绍;引进，传入
introduction/intr’dΛkn/ n.介绍;引进;引言
invade/in’veid/ vt.入侵，侵略;侵袭
invasion/in’vein/ n.入侵，侵略;侵犯
invent/in’vent/ vt.发明，创造;捏造
invention/in’venn/ n.发明，创造;捏造
inventor/in’vent/ n.发明者;发明家
invest/in’vest/ vt.投资;投入
investigate/in’vestigeit/ vt.&vi.调查
investment/in’vestmnt/ n.投资，投资额，投入
invisible/in’vizbl/ a.看不见的，无形的
invitation/invi’tein/ n.邀请，招待;请柬
invite/in’vait/ vt.邀请，聘请;招待
involve/in’vlv/ vt.使卷入;牵涉
inward/‘inwd/ a.里面的ad.向内
iron/‘ain/ n.铁;烙铁vt.烫(衣)
island/‘ailnd/ n.岛，岛屿
isolate/‘aisleit/ vt.使隔离，使孤立
issue/‘iu:/ n.问题;发行vt.发行
it/it/ pron.这，那，它
Italian/i’tljn/ a.意大利的n.意大利人
item/‘aitm/ n.条，条款;一条
its/its/ pron.它的
itself/it’self/ pron.它自己;自身
jacket/‘dkit/ n.短上衣，茄克衫
jam/dm/ n.果酱
jam/dm/ vt.使塞满;使堵塞
January/‘dnjuri/ n.一月
Japanese/dp’ni:z/ a.日本的n.日本人
jar/da:/ n.罐子，坛子，广口瓶
jaw/d:/ n.颌，颚
jazz/dz/ n.爵士音乐，爵士舞曲
jealous/‘dels/ a.妒忌的;猜疑的
jet/det/ n.喷气式飞机;喷嘴
jewel/‘du:l/ n.宝石;宝石饰物
job/dob/ n.职业;工作;零活
jin/din/ vt.参加;连接
jint/dint/ n.接头，接缝;关节
joke/duk/ n.笑话vi.说笑话
journal/‘d:nl/ n.日报，杂志;日志
journey/‘d:ni/ n.旅行，旅程n.旅行
joy/di/ n.欢乐，喜悦;乐事
judge/dΛd/ n.法官;裁判员
judgement/‘dΛdmnt/ n.意见;审判;判断
juice/du:s/ n.(水果等)汁，液
July/du:’lai/ n.七月
jump/dΛmp/ vi.跳;暴涨vt.跳过
June/du:n/ n.六月
jungle/‘dΛgl/ n.丛林，密林，莽丛
junior/‘du:nj/ a.年少的n.晚辈
jury/‘duri/ n.陪审团;评奖团
just/dΛst/ ad.刚才;只是;正好
justice/‘dΛstis/ n.正义，公正;司法
justify/‘dΛstifai/ vt.证明…是正当的
keen/ki:n/ a.热心的;激烈的
keep/ki:p/ vi.保持;坚持
kettle/‘ketl/ n.水壶，水锅
key/ki:/ n.钥匙;键;答案
keyboard/‘kib:d/ n.键盘
kick/kik/ vi.&vt.&n.踢
kid/kid/ n.小孩，儿童，少年
kill/kil/ vi.杀死;扼杀;消磨
kilogram/‘kilgrm/ n.千克，公斤
kilometer/‘kilmi:t/ n.千米，公里
kind/kaind/ n.种类
kind/kaind/ a.友好的;和蔼的
kindness/‘kaindnis/ n.仁慈，好意
king/ki/ n.国王，君主
kingdom/‘kidm/ n.王国;领域，界
kiss/kis/ vt.吻vi.接吻n.吻
kitchen/‘kitin/ n.厨房，灶间
knee/ni:/ n.膝，膝盖，膝关节
kneel/ni:l/ vi.跪，跪下，跪着
knife/naif/ n.小刀，刀，餐刀
knock/nk/ vi.&vt.&n.敲，击，打
knot/nt/ n.(绳的)结，(树的)节
know/nu/ vt.知道;认识;通晓
knowledge/‘nlid/ n.知识，学识;知道
lab/lb/ n.实验室，研究室
label/‘leibl/ n.标签;标记，符号
laboratory/l’brtri/ n.实验室，研究室
labour/‘leib/ n.劳动;工作;劳工
lack/lk/ vi.&vi.&n.缺乏，不足
ladder/‘ld/ n.梯子，梯状物
lady/‘leidi/ n.女士，夫人;贵妇人
lag/lg/ vi.走得慢n.落后
lake/leik/ n.湖
lamp/lmp/ n.灯
land/lnd/ n.陆地;土地vi.上岸
landlord/‘lndl:d/ n.地主;房东，店主
lane/lein/ n.(乡间)小路;跑道
language/‘lgwid/ n.语言，语言课程
lap/lp/ n.膝部;一圈
large/la:d/ a.大的;巨大的
largely/‘la:dli/ ad.大部分;大量地
laser/‘leiz/ n.激光
last/la:st/ a.最后的ad.最后
last/la:st/ vi.持续，持久;耐久
late/leit/ a.迟的ad.迟，晚
lately/‘leitli/ ad.最近，不久前
later/‘leit/ ad.后来;过一会儿
Latin/‘ltin/ a.拉丁的n.拉丁语
latter/‘lt/ a.(两者中)后者的
laugh/la:f/ vi.笑，发笑n.笑
laughter/la:ft/ n.笑，笑声
launch/l:nt/ vt.发射，投射;发动
laundry/‘l:ndri/ n.洗衣房，洗衣店
lavatory/‘lvtri/ n.盥洗室，厕所
law/l:/ n.法律，法令;法则
lawn/l:n/ n.草地，草坪，草场
lawyer/‘l:j/ n.律师;法学家
lay/lei/ vt.置放;铺设;设置
layer/‘lei/ n.层，层次;铺设者
layout/‘leiaut/ n.布局，安排，设计
lazy/‘leizi/ a.懒惰的，懒散的
lead/li:d/ vt.为…带路;领导
lead/li:d/ n.铅，铅制品
leader/‘li:d/ n.领袖，领导人;首领
leadership/‘li:dip/ n.领导
leading/‘li:di/ a.指导的;最主要的
leaf/li:f/ n.叶，叶子
league/li:g/ n.同盟，联盟;联合会
leak/li:k/ vi.漏;泄露n.漏洞
lean/li:n/ vi.倾斜，屈身;靠
leap/li:p/ vi.跳，跃n.跳跃
learn/l:n/ vi.&vt.学，学习
learned/‘l:nid/ a.有学问的;学术上的
learning/‘l:ni/ n.学习;学问，知识
least/li:st/ a.最少的ad.最少
leather/‘le/ n.皮革;皮革制品
leave/li:v/ vi.离去vt.离开
lecture/‘lekt/ n.&vi.演讲，讲课
left/left/ a.左边的ad.在左边
leg/leg/ n.腿，腿部
legal/‘li:gl/ a.法律的;合法的
leisure/‘le/ n.空闲时间;悠闲
lend/lend/ vt.把…借给，贷(款)
length/leθ/ n.长，长度;一段
lens/lenz/ n.透镜，镜片;镜头
less/les/ a.更少的ad.更少地
lessen/‘lesn/ vt.减少，减轻;缩小
lesson/‘lesn/ n.功课，课;课程
lest/lest/ conj.惟恐，以免
let/let/ vt.允许，让;使
letter/‘let/ n.信;证书;字母
level/‘levl/ n.水平面a.水平的
lever/‘li:v/ n.杆，杠杆;控制杆
liable/‘laibl/ a.易于…的;可能的
liberal/‘librl/ a.心胸宽大的;慷慨的
liberate/‘libreit/ vt.解放;释放
liberty/‘libti/ n.自由;释放;许可
librarian/lai’brerin/ n.图书馆馆长
library/‘laibrri/ n.图书馆;藏书
license/‘laisns/ n.许可;执照vt.准许
lid/lid/ n.盖子，盖，囊盖
lie/lai/ vi.躺，平放;位于
lie/lai/ vi.说谎，欺骗n.谎话
life/laif/ n.生命;一生;寿命
lifetime/‘laiftaim/ n.一生，终身
lift/lift/ vt.提起，提高n.电梯
light/lait/ n.光，光线;灯，光源
light/lait/ a.轻的，少量的
lightning/‘laitni/ n.闪电，闪电放电
like/laik/ vt.喜欢;喜爱;希望
like/laik/ prep.像，如;像要
likely/‘laikli/ a.可能的ad.很可能
likewise/‘laikwaiz/ ad.同样地;也，又
limb/lim/ n.肢，臂，翼;树枝
lime/laim/ n.石灰
limit/‘limit/ n.限度;限制;范围
limitation/limi’tein/ n.限制;限度，局限
limited/‘limitid/ a.有限的
line/lain/ n.线;排;路线;线条
